Date,Narration,Chq./Ref.No.,Value Dt,Withdrawal Amt.,Deposit Amt.,Closing Balance
16-12-2025,GST PAYMENT/RETURN FILING,CHQ000037,16-12-2025,"3,597.00",,"264,860.00"
18-12-2025,UPI/BUSINESS SALE CREDIT,CHQ000038,18-12-2025,,"6,469.00","249,483.00"
19-12-2025,EMI/WORKING-CAPITAL-LOAN,CHQ000039,19-12-2025,"9,000.00",,"269,761.00"
20-12-2025,UPI/BUSINESS SALE CREDIT,CHQ000040,20-12-2025,,"4,738.00","254,221.00"
20-12-2025,NEFT/WHOLESALE PAYMENT RECEIVED,CHQ000041,20-12-2025,,"18,923.00","273,144.00"
22-12-2025,UPI/BUSINESS SALE CREDIT,CHQ000042,22-12-2025,,"2,602.00","275,746.00"
24-12-2025,UPI/BUSINESS SALE CREDIT,CHQ000043,24-12-2025,,"5,704.00","281,450.00"
24-12-2025,NEFT/WHOLESALE PAYMENT RECEIVED,CHQ000044,24-12-2025,,"9,311.00","290,761.00"
02-01-2026,UPI/BUSINESS SALE CREDIT,CHQ000045,02-01-2026,,"4,130.00","268,990.00"
02-01-2026,UPI/BUSINESS SALE CREDIT,CHQ000046,02-01-2026,,"5,185.00","399,089.00"
04-01-2026,UPI/BUSINESS SALE CREDIT,CHQ000047,04-01-2026,,"2,237.00","271,227.00"
04-01-2026,NEFT/WHOLESALE PAYMENT RECEIVED,CHQ000048,04-01-2026,,"19,625.00","290,852.00"
04-01-2026,UPI/BUSINESS SALE CREDIT,CHQ000049,04-01-2026,,"4,007.00","403,096.00"
04-01-2026,NEFT/WHOLESALE PAYMENT RECEIVED,CHQ000050,04-01-2026,,"13,172.00","416,268.00"
05-01-2026,EMI/SME-TERM-LOAN,CHQ000051,05-01-2026,"12,000.00",,"412,581.00"
05-01-2026,EMI/SME-TERM-LOAN,CHQ000052,05-01-2026,"12,000.00",,"521,695.00"
06-01-2026,UPI/BUSINESS SALE CREDIT,CHQ000053,06-01-2026,,"2,672.00","293,524.00"
06-01-2026,UPI/BUSINESS SALE CREDIT,CHQ000054,06-01-2026,,"3,366.00","419,634.00"
08-01-2026,UPI/BUSINESS SALE CREDIT,CHQ000055,08-01-2026,,"1,636.00","295,160.00"
08-01-2026,NEFT/WHOLESALE PAYMENT RECEIVED,CHQ000056,08-01-2026,,"20,663.00","315,823.00"
08-01-2026,UPI/BUSINESS SALE CREDIT,CHQ000057,08-01-2026,,"4,580.00","424,214.00"
08-01-2026,NEFT/WHOLESALE PAYMENT RECEIVED,CHQ000058,08-01-2026,,"25,104.00","449,318.00"
10-01-2026,UPI/BUSINESS SALE CREDIT,CHQ000059,10-01-2026,,"5,351.00","321,174.00"
10-01-2026,BILLPAY/TATA POWER,CHQ000060,10-01-2026,"2,114.00",,"401,467.00"
10-01-2026,UPI/BUSINESS SALE CREDIT,CHQ000061,10-01-2026,,"2,731.00","452,049.00"
10-01-2026,BILLPAY/Mahanagar Gas,CHQ000062,10-01-2026,"4,072.00",,"508,623.00"
12-01-2026,UPI/BUSINESS SALE CREDIT,CHQ000063,12-01-2026,,"1,819.00","322,993.00"
12-01-2026,NEFT/WHOLESALE PAYMENT RECEIVED,CHQ000064,12-01-2026,,"25,379.00","348,372.00"
12-01-2026,UPI/BUSINESS SALE CREDIT,CHQ000065,12-01-2026,,"4,571.00","456,620.00"
12-01-2026,NEFT/WHOLESALE PAYMENT RECEIVED,CHQ000066,12-01-2026,,"18,157.00","474,777.00"
14-01-2026,UPI/BUSINESS SALE CREDIT,CHQ000067,14-01-2026,,"2,036.00","350,408.00"
14-01-2026,UPI/BUSINESS SALE CREDIT,CHQ000068,14-01-2026,,"1,894.00","476,671.00"
16-01-2026,UPI/BUSINESS SALE CREDIT,CHQ000069,16-01-2026,,"3,872.00","354,280.00"
16-01-2026,NEFT/WHOLESALE PAYMENT RECEIVED,CHQ000070,16-01-2026,,"11,645.00","365,925.00"
16-01-2026,GST PAYMENT/RETURN FILING,CHQ000071,16-01-2026,"7,563.00",,"393,904.00"
16-01-2026,UPI/BUSINESS SALE CREDIT,CHQ000072,16-01-2026,,"4,587.00","481,258.00"
16-01-2026,NEFT/WHOLESALE PAYMENT RECEIVED,CHQ000073,16-01-2026,,"14,074.00","495,332.00"
16-01-2026,GST PAYMENT/RETURN FILING,CHQ000074,16-01-2026,"4,591.00",,"504,032.00"
18-01-2026,UPI/BUSINESS SALE CREDIT,CHQ000075,18-01-2026,,"5,937.00","371,862.00"
18-01-2026,UPI/BUSINESS SALE CREDIT,CHQ000076,18-01-2026,,"4,635.00","499,967.00"
19-01-2026,EMI/WORKING-CAPITAL-LOAN,CHQ000077,19-01-2026,"9,000.00",,"403,581.00"
19-01-2026,EMI/WORKING-CAPITAL-LOAN,CHQ000078,19-01-2026,"9,000.00",,"512,695.00"
20-01-2026,UPI/BUSINESS SALE CREDIT,CHQ000079,20-01-2026,,"1,517.00","373,379.00"
20-01-2026,NEFT/WHOLESALE PAYMENT RECEIVED,CHQ000080,20-01-2026,,"25,232.00","398,611.00"
20-01-2026,UPI/BUSINESS SALE CREDIT,CHQ000081,20-01-2026,,"4,479.00","504,446.00"
20-01-2026,NEFT/WHOLESALE PAYMENT RECEIVED,CHQ000082,20-01-2026,,"12,996.00","517,442.00"
22-01-2026,UPI/BUSINESS SALE CREDIT,CHQ000083,22-01-2026,,"4,796.00","403,407.00"
22-01-2026,UPI/BUSINESS SALE CREDIT,CHQ000084,22-01-2026,,"3,250.00","520,692.00"
24-01-2026,UPI/BUSINESS SALE CREDIT,CHQ000085,24-01-2026,,"4,328.00","407,735.00"
24-01-2026,NEFT/WHOLESALE PAYMENT RECEIVED,CHQ000086,24-01-2026,,"16,846.00","424,581.00"
24-01-2026,UPI/BUSINESS SALE CREDIT,CHQ000087,24-01-2026,,"3,741.00","524,433.00"
24-01-2026,NEFT/WHOLESALE PAYMENT RECEIVED,CHQ000088,24-01-2026,,"9,262.00","533,695.00"
02-03-2026,UPI/BUSINESS SALE CREDIT,CHQ000089,02-03-2026,,"5,692.00","509,724.00"
04-03-2026,UPI/BUSINESS SALE CREDIT,CHQ000090,04-03-2026,,"4,996.00","514,720.00"
04-03-2026,NEFT/WHOLESALE PAYMENT RECEIVED,CHQ000091,04-03-2026,,"12,517.00","527,237.00"
05-03-2026,EMI/SME-TERM-LOAN,CHQ000092,05-03-2026,"12,000.00",,"666,913.00"
06-03-2026,UPI/BUSINESS SALE CREDIT,CHQ000093,06-03-2026,,"2,525.00","529,762.00"
08-03-2026,UPI/BUSINESS SALE CREDIT,CHQ000094,08-03-2026,,"1,763.00","531,525.00"
08-03-2026,NEFT/WHOLESALE PAYMENT RECEIVED,CHQ000095,08-03-2026,,"24,061.00","555,586.00"
10-03-2026,UPI/BUSINESS SALE CREDIT,CHQ000096,10-03-2026,,"3,700.00","559,286.00"
10-03-2026,BILLPAY/IGL,CHQ000097,10-03-2026,"4,503.00",,"653,410.00"
12-03-2026,UPI/BUSINESS SALE CREDIT,CHQ000098,12-03-2026,,"5,280.00","564,566.00"
12-03-2026,NEFT/WHOLESALE PAYMENT RECEIVED,CHQ000099,12-03-2026,,"22,758.00","587,324.00"
14-03-2026,UPI/BUSINESS SALE CREDIT,CHQ000100,14-03-2026,,"3,623.00","590,947.00"
16-03-2026,UPI/BUSINESS SALE CREDIT,CHQ000101,16-03-2026,,"2,159.00","593,106.00"
16-03-2026,NEFT/WHOLESALE PAYMENT RECEIVED,CHQ000102,16-03-2026,,"19,386.00","612,492.00"
16-03-2026,GST PAYMENT/RETURN FILING,CHQ000103,16-03-2026,"6,438.00",,"646,972.00"
18-03-2026,UPI/BUSINESS SALE CREDIT,CHQ000104,18-03-2026,,"6,473.00","618,965.00"
19-03-2026,EMI/WORKING-CAPITAL-LOAN,CHQ000105,19-03-2026,"9,000.00",,"657,913.00"
20-03-2026,UPI/BUSINESS SALE CREDIT,CHQ000106,20-03-2026,,"6,463.00","625,428.00"
20-03-2026,NEFT/WHOLESALE PAYMENT RECEIVED,CHQ000107,20-03-2026,,"25,456.00","650,884.00"
22-03-2026,UPI/BUSINESS SALE CREDIT,CHQ000108,22-03-2026,,"4,018.00","654,902.00"
24-03-2026,UPI/BUSINESS SALE CREDIT,CHQ000109,24-03-2026,,"3,724.00","658,626.00"
24-03-2026,NEFT/WHOLESALE PAYMENT RECEIVED,CHQ000110,24-03-2026,,"20,287.00","678,913.00"
02-04-2026,UPI/BUSINESS SALE CREDIT,CHQ000111,02-04-2026,,"2,658.00","649,630.00"
04-04-2026,UPI/BUSINESS SALE CREDIT,CHQ000112,04-04-2026,,"4,616.00","654,246.00"
04-04-2026,NEFT/WHOLESALE PAYMENT RECEIVED,CHQ000113,04-04-2026,,"16,117.00","670,363.00"
05-04-2026,EMI/SME-TERM-LOAN,CHQ000114,05-04-2026,"12,000.00",,"789,618.00"
06-04-2026,UPI/BUSINESS SALE CREDIT,CHQ000115,06-04-2026,,"2,002.00","672,365.00"
08-04-2026,UPI/BUSINESS SALE CREDIT,CHQ000116,08-04-2026,,"4,202.00","676,567.00"
08-04-2026,NEFT/WHOLESALE PAYMENT RECEIVED,CHQ000117,08-04-2026,,"13,869.00","690,436.00"
10-04-2026,UPI/BUSINESS SALE CREDIT,CHQ000118,10-04-2026,,"3,534.00","693,970.00"
10-04-2026,BILLPAY/Airtel,CHQ000119,10-04-2026,"4,764.00",,"775,854.00"
12-04-2026,UPI/BUSINESS SALE CREDIT,CHQ000120,12-04-2026,,"4,480.00","698,450.00"
12-04-2026,NEFT/WHOLESALE PAYMENT RECEIVED,CHQ000121,12-04-2026,,"11,675.00","710,125.00"
14-04-2026,UPI/BUSINESS SALE CREDIT,CHQ000122,14-04-2026,,"4,830.00","714,955.00"
16-04-2026,UPI/BUSINESS SALE CREDIT,CHQ000123,16-04-2026,,"1,687.00","716,642.00"
16-04-2026,NEFT/WHOLESALE PAYMENT RECEIVED,CHQ000124,16-04-2026,,"25,869.00","742,511.00"
16-04-2026,GST PAYMENT/RETURN FILING,CHQ000125,16-04-2026,"7,974.00",,"767,880.00"
18-04-2026,UPI/BUSINESS SALE CREDIT,CHQ000126,18-04-2026,,"3,380.00","745,891.00"
19-04-2026,EMI/WORKING-CAPITAL-LOAN,CHQ000127,19-04-2026,"9,000.00",,"780,618.00"
20-04-2026,UPI/BUSINESS SALE CREDIT,CHQ000128,20-04-2026,,"5,679.00","751,570.00"
20-04-2026,NEFT/WHOLESALE PAYMENT RECEIVED,CHQ000129,20-04-2026,,"21,759.00","773,329.00"
22-04-2026,UPI/BUSINESS SALE CREDIT,CHQ000130,22-04-2026,,"1,686.00","775,015.00"
24-04-2026,UPI/BUSINESS SALE CREDIT,CHQ000131,24-04-2026,,"5,180.00","780,195.00"
24-04-2026,NEFT/WHOLESALE PAYMENT RECEIVED,CHQ000132,24-04-2026,,"21,423.00","801,618.00"
